CAMPANHA JUNHO / 2016,,,,Preço Tabela,,,,Antecipação,,,,,,,,,,,,,,,
Macro-Segmento,Segmento,MCC,Nome MCC,Créd. à Vista,PSJ <= 6,PSJ > 6,DÉBITO,ElegÍvel  (Sim / Não),Período Carência,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,DISTRIBUIDORES E ATACADISTAS,5074,Atacadistas e Distribuidores de Aquecimentos e Encanamentos,3.68%,4.27%,4.66%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5085,Atacadistas e Distribuidores de Suprimentos Industriais,3.31%,4.11%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,DISTRIBUIDORES E ATACADISTAS,5094,Atacadistas e Distribuidores de Jóias, Relógios e Pedras Preciosas,3.48%,4.22%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5099,Atacadistas e Distribuidores de Mercadorias Duráveis,3.68%,4.27%,4.66%,2.17%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5111,Atacadistas e Distribuidores de Papelaria e Suprimentos para Escritório,3.68%,4.27%,4.66%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
SAÚDE,DISTRIBUIDORES E ATACADISTAS,5122,Atacadistas e Distribuidores para Drogarias e Farmácias,4.01%,4.71%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5131,Atacadistas e Distribuidores de Tecidos e Produtos de Armarinho,3.68%,4.27%,4.66%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,DISTRIBUIDORES E ATACADISTAS,5137,Atacadistas e Distribuidores de Roupas (Uniformes Comerciais, Escolares e Esportivos),3.64%,4.41%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,DISTRIBUIDORES E ATACADISTAS,5139,Atacadistas e Distribuidores de Calçados ,3.57%,4.34%,4.86%,2.47%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5169,Atacadistas e Distribuidores de Produtos Quimicos e Semelhantes,3.68%,4.27%,4.66%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,DISTRIBUIDORES E ATACADISTAS,5172,Atacadistas e Distribuidores de Petróleo e Derivados,4.82%,5.58%,5.94%,4.17%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5192,Atacadistas e Distribuidores de Livros, Periódicos e Jornais,3.68%,4.27%,4.86%,2.17%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5193,Atacadistas e Distribuidores de Flores, Plantas e Sementes,3.68%,4.27%,4.66%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,DISTRIBUIDORES E ATACADISTAS,5198,Atacadistas e Distribuidores de Tintas e Vernizes,3.68%,4.27%,4.66%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,DISTRIBUIDORES E ATACADISTAS,5199,Atacadistas e Distribuidores de Mercadorias Não Duráveis,3.11%,3.76%,4.86%,2.18%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,LOJAS DE MATERIAIS DE CONSTRUÇÃO,5200,Home Center,2.89%,3.34%,3.52%,1.74%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,LOJAS DE MATERIAIS DE CONSTRUÇÃO,5211,Lojas de Materiais de Construção,2.89%,3.34%,3.52%,1.74%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,LOJAS DE MATERIAIS DE CONSTRUÇÃO,5231,Vidros, Tintas e Coberturas de Parede,2.89%,3.34%,3.52%,1.74%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,LOJAS DE MATERIAIS DE CONSTRUÇÃO,5251,Ferragens e Ferramentas,2.89%,3.34%,3.52%,1.74%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5261,Suprimentos para Jardins e Gramado,3.43%,4.16%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,DISTRIBUIDORES E ATACADISTAS,5300,Atacadistas e Distribuidores de Alimentos e Provisões para Casa,2.99%,3.59%,4.86%,1.74%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS DE VARIEDADES,5309,Duty free,3.01%,3.65%,4.76%,2.16%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS DE DEPARTAMENTO,5311,Lojas de Departamento,3.71%,4.41%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS DE VARIEDADES,5331,Lojas de Variedades ,3.64%,4.41%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5399,Artigos para a Casa,3.53%,4.28%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,SUPERMERCADOS E MERCADOS,5411,Supermercados e Mercearias,2.71%,3.41%,4.26%,1.76%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,VAREJO ALIMENTÍCIO ESPECIALIZADO,5422,Açougues, Peixaria, Avícolas e Frigoríficos,3.41%,4.11%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,VAREJO ALIMENTÍCIO ESPECIALIZADO,5441,Docerias e Confeitarias,3.41%,4.11%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,VAREJO ALIMENTÍCIO ESPECIALIZADO,5451,Laticinios,3.46%,4.11%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,VAREJO ALIMENTÍCIO ESPECIALIZADO,5462,Padarias / Lojas de Biscoitos / bomboniere,3.17%,3.84%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,VAREJO ALIMENTÍCIO ESPECIALIZADO,5499,Cafeterias / Sacolões / Sorveterias / Suplementos Alimentares (dietéticos e para esportistas) / Comida Especializada,3.37%,4.07%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,LOJAS DE VEÍCULOS,5511,Venda de Carros e Caminhões (novos e usados),3.30%,3.83%,4.09%,1.83%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,LOJAS DE VEÍCULOS,5521,Venda de Carros Usados,3.40%,3.93%,4.66%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,AUTO-PEÇAS,5532,Lojas de Pneus,3.39%,4.11%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,AUTO-PEÇAS,5533,Peças e Acessórios Automotivos,3.39%,4.11%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,COMBUSTÍVEIS,5541,Postos de Combustível,2.76%,3.34%,4.86%,1.61%,Sim,30 dias,,,,,,,,,,,,,,
